Video,DetectedText,Confidence,Timestamp(ms)
Transcodes/IMG_1582.mp4,UNDER,90.20491790771484,24000
Transcodes/IMG_1582.mp4,UNDER,90.20491790771484,24000
Transcodes/IMG_4119.mp4,Ice Cream,97.97029876708984,38000
Transcodes/IMG_4119.mp4,COUNTER,97.41519927978516,38000
Transcodes/IMG_4119.mp4,I,90.21565246582031,38000
Transcodes/IMG_4119.mp4,Ice,98.04051971435547,38000
Transcodes/IMG_4119.mp4,Cream,97.90007781982422,38000
Transcodes/IMG_4119.mp4,COUNTER,97.41519927978516,38000
Transcodes/IMG_4119.mp4,I,90.21565246582031,38000
Transcodes/IMG_4119.mp4,ICAN,82.67451477050781,39000
Transcodes/IMG_4119.mp4,OLIVIA,95.35661315917969,39000
Transcodes/IMG_4119.mp4,mini,97.96544647216797,39000
Transcodes/IMG_4119.mp4,mini,83.47650909423828,39000
Transcodes/IMG_4119.mp4,ICAN,82.67451477050781,39000
Transcodes/IMG_4119.mp4,OLIVIA,95.35661315917969,39000
Transcodes/IMG_4119.mp4,mini,97.96544647216797,39000
Transcodes/IMG_4119.mp4,mini,83.47650909423828,39000
Transcodes/IMG_4119.mp4,OLIVIA,96.47138214111328,40000
Transcodes/IMG_4119.mp4,B,88.03961181640625,40000
Transcodes/IMG_4119.mp4,mini,94.23860931396484,40000
Transcodes/IMG_4119.mp4,OLIVIA,96.47138214111328,40000
Transcodes/IMG_4119.mp4,B,88.03961181640625,40000
Transcodes/IMG_4119.mp4,mini,94.23860931396484,40000
Transcodes/IMG_4119.mp4,OLIVIA,97.34452056884766,41000
Transcodes/IMG_4119.mp4,OLIVIA,97.34452056884766,41000
Transcodes/IMG_5087.mp4,Monta,92.2880630493164,5000
Transcodes/IMG_5087.mp4,Monta,92.2880630493164,5000
Transcodes/IMG_7241.mp4,-,89.11640167236328,6000
Transcodes/IMG_7241.mp4,-,89.11640167236328,6000
Transcodes/IMG_7241.mp4,AS,95.48209381103516,9000
Transcodes/IMG_7241.mp4,AS,95.48209381103516,9000
Transcodes/IMG_7241.mp4,AS,95.16890716552734,12000
Transcodes/IMG_7241.mp4,AS,95.16890716552734,12000
Transcodes/IMG_7241.mp4,HAPPY CAN,96.21336364746094,13000
Transcodes/IMG_7241.mp4,HAPPY,97.99295806884766,13000
Transcodes/IMG_7241.mp4,CAN,94.43376922607422,13000
Transcodes/IMG_7241.mp4,I,88.11557006835938,52000
Transcodes/IMG_7241.mp4,I,88.11557006835938,52000
Transcodes/IMG_7241.mp4,!,89.11553955078125,56000
Transcodes/IMG_7241.mp4,!,89.11553955078125,56000
Transcodes/IMG_7241.mp4,I,87.47798919677734,59000
Transcodes/IMG_7241.mp4,HAPPY AS CAN,97.3193359375,59000
Transcodes/IMG_7241.mp4,I,87.47798919677734,59000
Transcodes/IMG_7241.mp4,HAPPY,98.53045654296875,59000
Transcodes/IMG_7241.mp4,AS,97.12319946289062,59000
Transcodes/IMG_7241.mp4,CAN,96.3043441772461,59000
Transcodes/IMG_7241.mp4,HAPPY CAN,98.29508209228516,60000
Transcodes/IMG_7241.mp4,HAPPY,99.45742797851562,60000
Transcodes/IMG_7241.mp4,CAN,97.13273620605469,60000
Transcodes/IMG_7241.mp4,HAPPY AS,98.77239227294922,61000
Transcodes/IMG_7241.mp4,HAPPY,98.89370727539062,61000
Transcodes/IMG_7241.mp4,AS,98.65107727050781,61000
Transcodes/IMG_7241.mp4,HAPPY AS,98.5475082397461,62000
Transcodes/IMG_7241.mp4,HAPPY,98.82882690429688,62000
Transcodes/IMG_7241.mp4,AS,98.26618957519531,62000
Transcodes/IMG_7241.mp4,HAPPY AS,98.40835571289062,63000
Transcodes/IMG_7241.mp4,HAPPY,98.79737091064453,63000
Transcodes/IMG_7241.mp4,AS,98.01933288574219,63000
Transcodes/IMG_7241.mp4,HAPPY AS,98.61221313476562,64000
Transcodes/IMG_7241.mp4,HAPPY,98.82994842529297,64000
Transcodes/IMG_7241.mp4,AS,98.39446258544922,64000
