Video,Label,Confidence,Timestamp(ms)
Transcodes/IMG_0616.mp4,Canine,63.810813903808594,1000
Transcodes/IMG_0616.mp4,Child,99.17985534667969,1000
Transcodes/IMG_0616.mp4,City,80.3580093383789,1000
Transcodes/IMG_0616.mp4,Clothing,63.51511001586914,1000
Transcodes/IMG_0616.mp4,Dancing,50.29130935668945,1000
Transcodes/IMG_0616.mp4,Dog,63.810813903808594,1000
Transcodes/IMG_0616.mp4,Face,51.98906707763672,1000
Transcodes/IMG_0616.mp4,Female,99.17985534667969,1000
Transcodes/IMG_0616.mp4,Field,51.47250747680664,1000
Transcodes/IMG_0616.mp4,Footwear,55.27762222290039,1000
Transcodes/IMG_0616.mp4,Girl,99.17985534667969,1000
Transcodes/IMG_0616.mp4,Grass,57.6083869934082,1000
Transcodes/IMG_0616.mp4,Head,51.98906707763672,1000
Transcodes/IMG_0616.mp4,Hoop,50.07316589355469,1000
Transcodes/IMG_0616.mp4,Leisure Activities,50.29130935668945,1000
Transcodes/IMG_0616.mp4,Mammal,67.99921417236328,1000
Transcodes/IMG_0616.mp4,Nature,57.6083869934082,1000
Transcodes/IMG_0616.mp4,Outdoor Play Area,62.33462905883789,1000
Transcodes/IMG_0616.mp4,Outdoors,86.13485717773438,1000
Transcodes/IMG_0616.mp4,Pants,52.073265075683594,1000
Transcodes/IMG_0616.mp4,Park,57.6083869934082,1000
Transcodes/IMG_0616.mp4,Path,51.04554748535156,1000
Transcodes/IMG_0616.mp4,Pedestrian,52.98908615112305,1000
Transcodes/IMG_0616.mp4,Person,99.17985534667969,1000
Transcodes/IMG_0616.mp4,Pet,67.99921417236328,1000
Transcodes/IMG_0616.mp4,Plant,57.6083869934082,1000
Transcodes/IMG_0616.mp4,Play,53.42772674560547,1000
Transcodes/IMG_0616.mp4,Play Area,76.88827514648438,1000
Transcodes/IMG_0616.mp4,Playing Basketball,93.9096450805664,1000
Transcodes/IMG_0616.mp4,Potted Plant,50.719486236572266,1000
Transcodes/IMG_0616.mp4,Racket,50.194190979003906,1000
Transcodes/IMG_0616.mp4,Road,65.92757415771484,1000
Transcodes/IMG_0616.mp4,Running,50.16653823852539,1000
Transcodes/IMG_0616.mp4,Shelter,58.952659606933594,1000
Transcodes/IMG_0616.mp4,Shoe,55.27762222290039,1000
Transcodes/IMG_0616.mp4,Shorts,62.86961364746094,1000
Transcodes/IMG_0616.mp4,Sitting,52.82553482055664,1000
Transcodes/IMG_0616.mp4,Skipping Rope,51.04021072387695,1000
Transcodes/IMG_0616.mp4,Sleeve,50.23227310180664,1000
Transcodes/IMG_0616.mp4,Sneaker,52.20432662963867,1000
Transcodes/IMG_0616.mp4,Sport,93.9096450805664,1000
Transcodes/IMG_0616.mp4,Street,65.92757415771484,1000
Transcodes/IMG_0616.mp4,Summer,50.8238525390625,1000
Transcodes/IMG_0616.mp4,Tree,50.3634147644043,1000
Transcodes/IMG_0616.mp4,Urban,65.92757415771484,1000
Transcodes/IMG_0616.mp4,Walking,59.57014083862305,1000
Transcodes/IMG_0616.mp4,Working Out,51.3876953125,1000
Transcodes/IMG_0616.mp4,Advertisement,52.0709114074707,1500
Transcodes/IMG_0616.mp4,Alley,50.302154541015625,1500
Transcodes/IMG_0616.mp4,Animal,69.24652099609375,1500
Transcodes/IMG_0616.mp4,Architecture,76.7771987915039,1500
Transcodes/IMG_0616.mp4,Ball,50.08993911743164,1500
Transcodes/IMG_0616.mp4,Balloon,54.919246673583984,1500
Transcodes/IMG_0616.mp4,Basketball,86.85346221923828,1500
Transcodes/IMG_0616.mp4,Building,76.7771987915039,1500
Transcodes/IMG_0616.mp4,Canine,67.1523208618164,1500
Transcodes/IMG_0616.mp4,Child,98.80815124511719,1500
Transcodes/IMG_0616.mp4,City,77.0898208618164,1500
Transcodes/IMG_0616.mp4,Clothing,55.98603057861328,1500
Transcodes/IMG_0616.mp4,Dancing,50.95501708984375,1500
Transcodes/IMG_0616.mp4,Dog,67.1523208618164,1500
Transcodes/IMG_0616.mp4,Face,55.76753234863281,1500
Transcodes/IMG_0616.mp4,Female,98.80815124511719,1500
Transcodes/IMG_0616.mp4,Field,51.887691497802734,1500
Transcodes/IMG_0616.mp4,Food,51.771568298339844,1500
Transcodes/IMG_0616.mp4,Footwear,54.95634460449219,1500
Transcodes/IMG_0616.mp4,Girl,98.80815124511719,1500
