Video,Timestamp(ms),MatchedName,Confidence
Transcodes/IMG_1582.mp4,9000,Jojo,100.0
Transcodes/IMG_1582.mp4,9000,Millie,100.0
Transcodes/IMG_1582.mp4,10999,Millie,100.0
Transcodes/IMG_1582.mp4,10999,Jojo,100.0
Transcodes/IMG_1582.mp4,11499,Millie,100.0
Transcodes/IMG_1582.mp4,11499,Jojo,100.0
Transcodes/IMG_1582.mp4,14499,Millie,100.0
Transcodes/IMG_1582.mp4,14999,Millie,100.0
Transcodes/IMG_1582.mp4,14999,Jojo,100.0
Transcodes/IMG_1582.mp4,15499,Millie,100.0
Transcodes/IMG_1582.mp4,15499,Jojo,100.0
Transcodes/IMG_1582.mp4,15999,Millie,100.0
Transcodes/IMG_1582.mp4,15999,Jojo,100.0
Transcodes/IMG_1582.mp4,16499,Millie,100.0
Transcodes/IMG_1582.mp4,16499,Jojo,100.0
Transcodes/IMG_1582.mp4,16999,Jojo,100.0
Transcodes/IMG_1582.mp4,16999,Millie,100.0
Transcodes/IMG_1582.mp4,17499,Millie,100.0
Transcodes/IMG_1582.mp4,17499,Jojo,100.0
Transcodes/IMG_1582.mp4,17499,Millie,100.0
Transcodes/IMG_1582.mp4,17499,Jojo,100.0
Transcodes/IMG_1582.mp4,17999,Millie,100.0
Transcodes/IMG_1582.mp4,17999,Jojo,100.0
Transcodes/IMG_1582.mp4,17999,Jojo,100.0
Transcodes/IMG_1582.mp4,17999,Millie,100.0
Transcodes/IMG_1582.mp4,18499,Millie,100.0
Transcodes/IMG_1582.mp4,18499,Jojo,100.0
Transcodes/IMG_1582.mp4,18499,Jojo,100.0
Transcodes/IMG_1582.mp4,18499,Millie,100.0
Transcodes/IMG_1582.mp4,18999,Millie,100.0
Transcodes/IMG_1582.mp4,18999,Jojo,100.0
Transcodes/IMG_1582.mp4,18999,Millie,100.0
Transcodes/IMG_1582.mp4,18999,Jojo,100.0
Transcodes/IMG_1582.mp4,19499,Millie,100.0
Transcodes/IMG_1582.mp4,19499,Jojo,100.0
Transcodes/IMG_1582.mp4,19499,Jojo,100.0
Transcodes/IMG_1582.mp4,19499,Millie,100.0
Transcodes/IMG_1582.mp4,20000,Millie,100.0
Transcodes/IMG_1582.mp4,20000,Jojo,100.0
Transcodes/IMG_1582.mp4,20500,Millie,100.0
Transcodes/IMG_1582.mp4,20500,Jojo,100.0
Transcodes/IMG_1582.mp4,20500,Tom,100.0
Transcodes/IMG_1582.mp4,21000,Tom,100.0
Transcodes/IMG_1582.mp4,21500,Millie,100.0
Transcodes/IMG_1582.mp4,21500,Jojo,100.0
Transcodes/IMG_1582.mp4,21500,Tom,100.0
Transcodes/IMG_1582.mp4,22000,Millie,100.0
Transcodes/IMG_1582.mp4,22000,Jojo,100.0
Transcodes/IMG_1582.mp4,22000,Tom,100.0
Transcodes/IMG_1582.mp4,22500,Jojo,100.0
Transcodes/IMG_1582.mp4,22500,Millie,100.0
Transcodes/IMG_1582.mp4,22500,Tom,100.0
Transcodes/IMG_1582.mp4,23000,Millie,100.0
Transcodes/IMG_1582.mp4,23000,Jojo,100.0
Transcodes/IMG_1582.mp4,23000,Tom,100.0
Transcodes/IMG_1582.mp4,23500,Millie,100.0
Transcodes/IMG_1582.mp4,23500,Jojo,100.0
Transcodes/IMG_1582.mp4,23500,Tom,100.0
Transcodes/IMG_1582.mp4,24000,Millie,100.0
Transcodes/IMG_1582.mp4,24000,Jojo,100.0
Transcodes/IMG_1582.mp4,24000,Tom,100.0
Transcodes/IMG_1582.mp4,24500,Millie,100.0
Transcodes/IMG_1582.mp4,24500,Jojo,100.0
Transcodes/IMG_1582.mp4,24500,Tom,100.0
Transcodes/IMG_1582.mp4,25000,Millie,100.0
Transcodes/IMG_1582.mp4,25000,Jojo,100.0
Transcodes/IMG_1582.mp4,25000,Tom,100.0
Transcodes/IMG_1582.mp4,25500,Millie,100.0
Transcodes/IMG_1582.mp4,25500,Jojo,100.0
Transcodes/IMG_1582.mp4,25500,Tom,100.0
Transcodes/IMG_1582.mp4,26000,Millie,100.0
Transcodes/IMG_1582.mp4,26000,Jojo,100.0
Transcodes/IMG_1582.mp4,26000,Tom,100.0
Transcodes/IMG_1582.mp4,26500,Millie,100.0
Transcodes/IMG_1582.mp4,26500,Jojo,100.0
Transcodes/IMG_1582.mp4,26500,Tom,100.0
Transcodes/IMG_1582.mp4,27000,Millie,100.0
Transcodes/IMG_1582.mp4,27000,Jojo,100.0
Transcodes/IMG_1582.mp4,27000,Tom,100.0
Transcodes/IMG_1582.mp4,27500,Millie,100.0
Transcodes/IMG_1582.mp4,27500,Jojo,100.0
Transcodes/IMG_1582.mp4,27500,Tom,100.0
Transcodes/IMG_1582.mp4,28000,Tom,100.0
Transcodes/IMG_1582.mp4,28500,Tom,100.0
Transcodes/IMG_1582.mp4,29000,Tom,100.0
Transcodes/IMG_1582.mp4,30000,Tom,100.0
Transcodes/IMG_298.mp4,0,Millie,100.0
Transcodes/IMG_298.mp4,0,Jojo,100.0
Transcodes/IMG_298.mp4,0,Jojo,100.0
Transcodes/IMG_298.mp4,0,Millie,100.0
Transcodes/IMG_298.mp4,0,Tom,100.0
Transcodes/IMG_298.mp4,0,Kari,100.0
Transcodes/IMG_298.mp4,467,Millie,100.0
Transcodes/IMG_298.mp4,467,Jojo,100.0
Transcodes/IMG_298.mp4,467,Jojo,100.0
Transcodes/IMG_298.mp4,467,Millie,100.0
